Station name,PRL_Count,BRV_Count,station_engine_counts
Aldridge,1,0,1
Aston,1,1,2
Bickenhill,1,0,1
Billesley,1,1,2
Bilston,1,0,1
Binley,1,1,2
Bloxwich,1,0,1
Bournbrook,1,0,1
Brierley Hill,1,1,2
Canley,1,0,1
Coventry,2,0,2
Cradley Heath,1,0,1
Dudley,1,1,2
Erdington,1,0,1
Fallings Park,1,1,2
Foleshill,1,1,2
Haden Cross,1,1,2
Halesowen,1,0,1
Handsworth,1,1,2
Hay Mills,1,1,2
Highgate,2,0,2
Kings Norton,1,0,1
Ladywood,1,1,2
Northfield,1,1,2
Oldbury,1,1,2
Perry Barr,1,1,2
Sheldon,1,1,2
Smethwick,1,0,1
Solihull,1,1,2
Stourbridge,1,0,1
Sutton Coldfield,1,0,1
Tettenhall,1,0,1
Tipton,1,0,1
Walsall,2,0,2
Ward End,1,1,2
Wednesbury,1,0,1
West Bromwich,1,1,2
Willenhall,1,0,1
Wolverhampton,1,1,2
Woodgate Valley,1,0,1
